SAMPLE,DATE,TIME,Comp.Cond,Uncomp.Cond
0,10/03/2016,02:04:54下午,2.723,2.989
1,10/03/2016,02:04:55下午,2.723,2.989
2,10/03/2016,02:04:55下午,2.723,2.989
3,10/03/2016,02:04:55下午,2.723,2.989
4,10/03/2016,02:04:55下午,2.723,2.986
5,10/03/2016,02:04:55下午,2.721,2.986
6,10/03/2016,02:04:55下午,2.721,2.986
7,10/03/2016,02:04:56下午,2.721,2.986
8,10/03/2016,02:04:56下午,2.721,2.986
9,10/03/2016,02:04:56下午,2.718,2.983
10,10/03/2016,02:04:56下午,2.718,2.983
11,10/03/2016,02:04:56下午,2.718,2.983
12,10/03/2016,02:04:56下午,2.718,2.983
13,10/03/2016,02:04:57下午,2.718,2.982
14,10/03/2016,02:04:57下午,2.718,2.982
15,10/03/2016,02:04:57下午,2.718,2.982
16,10/03/2016,02:04:57下午,2.718,2.982
17,10/03/2016,02:04:57下午,2.718,2.982
18,10/03/2016,02:04:58下午,2.717,2.981
19,10/03/2016,02:04:58下午,2.717,2.981
20,10/03/2016,02:04:58下午,2.717,2.981
21,10/03/2016,02:04:58下午,2.717,2.981
22,10/03/2016,02:04:58下午,2.717,2.981
23,10/03/2016,02:04:58下午,2.717,2.98
24,10/03/2016,02:04:59下午,2.717,2.98
25,10/03/2016,02:04:59下午,2.717,2.98
26,10/03/2016,02:04:59下午,2.717,2.98
27,10/03/2016,02:04:59下午,2.717,2.984
28,10/03/2016,02:04:59下午,2.72,2.984
29,10/03/2016,02:04:59下午,2.72,2.984
30,10/03/2016,02:05:00下午,2.72,2.984
31,10/03/2016,02:05:00下午,2.72,2.984
32,10/03/2016,02:05:00下午,2.718,2.98
33,10/03/2016,02:05:00下午,2.718,2.98
34,10/03/2016,02:05:00下午,2.718,2.98
35,10/03/2016,02:05:00下午,2.718,2.98
36,10/03/2016,02:05:01下午,2.718,2.977
37,10/03/2016,02:05:01下午,2.715,2.977
38,10/03/2016,02:05:01下午,2.715,2.977
39,10/03/2016,02:05:01下午,2.715,2.977
40,10/03/2016,02:05:01下午,2.715,2.977
41,10/03/2016,02:05:01下午,2.714,2.975
42,10/03/2016,02:05:02下午,2.714,2.975
43,10/03/2016,02:05:02下午,2.714,2.975
44,10/03/2016,02:05:02下午,2.714,2.975
45,10/03/2016,02:05:02下午,2.714,2.972
46,10/03/2016,02:05:02下午,2.711,2.972
47,10/03/2016,02:05:03下午,2.711,2.972
48,10/03/2016,02:05:03下午,2.711,2.972
49,10/03/2016,02:05:03下午,2.711,2.972
50,10/03/2016,02:05:03下午,2.712,2.973
51,10/03/2016,02:05:03下午,2.712,2.973
52,10/03/2016,02:05:03下午,2.712,2.973
53,10/03/2016,02:05:04下午,2.712,2.973
54,10/03/2016,02:05:04下午,2.712,2.97
55,10/03/2016,02:05:04下午,2.71,2.97
56,10/03/2016,02:05:04下午,2.71,2.97
57,10/03/2016,02:05:04下午,2.71,2.97
58,10/03/2016,02:05:04下午,2.71,2.97
59,10/03/2016,02:05:05下午,2.708,2.967
60,10/03/2016,02:05:05下午,2.708,2.967
61,10/03/2016,02:05:05下午,2.708,2.967
62,10/03/2016,02:05:05下午,2.708,2.967
63,10/03/2016,02:05:05下午,2.708,2.967
64,10/03/2016,02:05:05下午,2.709,2.969
65,10/03/2016,02:05:06下午,2.709,2.969
66,10/03/2016,02:05:06下午,2.709,2.969
67,10/03/2016,02:05:06下午,2.709,2.969
68,10/03/2016,02:05:06下午,2.709,2.964
69,10/03/2016,02:05:06下午,2.705,2.964
70,10/03/2016,02:05:07下午,2.705,2.964
71,10/03/2016,02:05:07下午,2.705,2.964
72,10/03/2016,02:05:07下午,2.705,2.964
73,10/03/2016,02:05:07下午,2.706,2.964
74,10/03/2016,02:05:07下午,2.706,2.964
75,10/03/2016,02:05:07下午,2.706,2.964
76,10/03/2016,02:05:08下午,2.706,2.964
77,10/03/2016,02:05:08下午,2.706,2.962
78,10/03/2016,02:05:08下午,2.704,2.962
79,10/03/2016,02:05:08下午,2.704,2.962
80,10/03/2016,02:05:08下午,2.704,2.962
81,10/03/2016,02:05:08下午,2.704,2.962
82,10/03/2016,02:05:09下午,2.706,2.964
83,10/03/2016,02:05:09下午,2.706,2.964
84,10/03/2016,02:05:09下午,2.706,2.964
85,10/03/2016,02:05:09下午,2.706,2.964
86,10/03/2016,02:05:09下午,2.706,2.962
87,10/03/2016,02:05:09下午,2.705,2.962
88,10/03/2016,02:05:10下午,2.705,2.962
89,10/03/2016,02:05:10下午,2.705,2.962
90,10/03/2016,02:05:10下午,2.705,2.962
91,10/03/2016,02:05:10下午,2.704,2.961
92,10/03/2016,02:05:10下午,2.704,2.961
93,10/03/2016,02:05:11下午,2.704,2.961
94,10/03/2016,02:05:11下午,2.704,2.961
95,10/03/2016,02:05:11下午,2.704,2.963
96,10/03/2016,02:05:11下午,2.707,2.963
97,10/03/2016,02:05:11下午,2.707,2.963
98,10/03/2016,02:05:11下午,2.707,2.963
99,10/03/2016,02:05:12下午,2.707,2.963
100,10/03/2016,02:05:12下午,2.707,2.963
101,10/03/2016,02:05:12下午,2.707,2.963
102,10/03/2016,02:05:12下午,2.707,2.963
103,10/03/2016,02:05:12下午,2.707,2.963
104,10/03/2016,02:05:12下午,2.707,2.966
105,10/03/2016,02:05:13下午,2.71,2.966
106,10/03/2016,02:05:13下午,2.71,2.966
107,10/03/2016,02:05:13下午,2.71,2.966
108,10/03/2016,02:05:13下午,2.71,2.966
109,10/03/2016,02:05:13下午,2.71,2.965
110,10/03/2016,02:05:13下午,2.71,2.965
111,10/03/2016,02:05:14下午,2.71,2.965
112,10/03/2016,02:05:14下午,2.71,2.965
113,10/03/2016,02:05:14下午,2.71,2.965
114,10/03/2016,02:05:14下午,2.708,2.964
115,10/03/2016,02:05:14下午,2.708,2.964
116,10/03/2016,02:05:15下午,2.708,2.964
117,10/03/2016,02:05:15下午,2.708,2.964
118,10/03/2016,02:05:15下午,2.708,2.967
119,10/03/2016,02:05:15下午,2.712,2.967
120,10/03/2016,02:05:15下午,2.712,2.967
121,10/03/2016,02:05:15下午,2.712,2.967
122,10/03/2016,02:05:16下午,2.712,2.967
123,10/03/2016,02:05:16下午,2.715,2.97
124,10/03/2016,02:05:16下午,2.715,2.97
125,10/03/2016,02:05:16下午,2.715,2.97
126,10/03/2016,02:05:16下午,2.715,2.97
127,10/03/2016,02:05:16下午,2.715,2.97
128,10/03/2016,02:05:17下午,2.715,2.97
129,10/03/2016,02:05:17下午,2.715,2.97
130,10/03/2016,02:05:17下午,2.715,2.97
131,10/03/2016,02:05:17下午,2.715,2.97
132,10/03/2016,02:05:17下午,2.711,2.965
133,10/03/2016,02:05:17下午,2.711,2.965
134,10/03/2016,02:05:18下午,2.711,2.965
135,10/03/2016,02:05:18下午,2.711,2.965
136,10/03/2016,02:05:18下午,2.711,2.964
137,10/03/2016,02:05:18下午,2.711,2.964
138,10/03/2016,02:05:18下午,2.711,2.964
139,10/03/2016,02:05:18下午,2.711,2.964
140,10/03/2016,02:05:19下午,2.711,2.964
141,10/03/2016,02:05:19下午,2.71,2.963
142,10/03/2016,02:05:19下午,2.71,2.963
143,10/03/2016,02:05:19下午,2.71,2.963
144,10/03/2016,02:05:19下午,2.71,2.963
145,10/03/2016,02:05:20下午,2.71,2.96
146,10/03/2016,02:05:20下午,2.708,2.96
147,10/03/2016,02:05:20下午,2.708,2.96
148,10/03/2016,02:05:20下午,2.708,2.96
149,10/03/2016,02:05:20下午,2.708,2.96
150,10/03/2016,02:05:20下午,2.702,2.954
151,10/03/2016,02:05:21下午,2.702,2.954
152,10/03/2016,02:05:21下午,2.702,2.954
153,10/03/2016,02:05:21下午,2.702,2.954
154,10/03/2016,02:05:21下午,2.702,2.952
155,10/03/2016,02:05:21下午,2.701,2.952
156,10/03/2016,02:05:21下午,2.701,2.952
157,10/03/2016,02:05:22下午,2.701,2.952
158,10/03/2016,02:05:22下午,2.701,2.952
159,10/03/2016,02:05:22下午,2.699,2.95
160,10/03/2016,02:05:22下午,2.699,2.95
161,10/03/2016,02:05:22下午,2.699,2.95
162,10/03/2016,02:05:23下午,2.699,2.95
163,10/03/2016,02:05:23下午,2.699,2.95
164,10/03/2016,02:05:23下午,2.697,2.947
165,10/03/2016,02:05:23下午,2.697,2.947
166,10/03/2016,02:05:23下午,2.697,2.947
167,10/03/2016,02:05:23下午,2.697,2.947
168,10/03/2016,02:05:24下午,2.697,2.945
169,10/03/2016,02:05:24下午,2.696,2.945
170,10/03/2016,02:05:24下午,2.696,2.945
171,10/03/2016,02:05:24下午,2.696,2.945
172,10/03/2016,02:05:24下午,2.696,2.945
173,10/03/2016,02:05:24下午,2.696,2.945
174,10/03/2016,02:05:25下午,2.696,2.945
175,10/03/2016,02:05:25下午,2.696,2.945
176,10/03/2016,02:05:25下午,2.696,2.945
177,10/03/2016,02:05:25下午,2.696,2.951
178,10/03/2016,02:05:25下午,2.702,2.951
179,10/03/2016,02:05:25下午,2.702,2.951
180,10/03/2016,02:05:26下午,2.702,2.951
181,10/03/2016,02:05:26下午,2.702,2.951
182,10/03/2016,02:05:26下午,2.703,2.952
183,10/03/2016,02:05:26下午,2.703,2.952
184,10/03/2016,02:05:26下午,2.703,2.952
185,10/03/2016,02:05:27下午,2.703,2.952
186,10/03/2016,02:05:27下午,2.703,2.956
187,10/03/2016,02:05:27下午,2.707,2.956
188,10/03/2016,02:05:27下午,2.707,2.956
189,10/03/2016,02:05:27下午,2.707,2.956
190,10/03/2016,02:05:27下午,2.707,2.956
191,10/03/2016,02:05:28下午,2.708,2.956
192,10/03/2016,02:05:28下午,2.708,2.956
193,10/03/2016,02:05:28下午,2.708,2.956
194,10/03/2016,02:05:28下午,2.708,2.956
195,10/03/2016,02:05:28下午,2.708,2.956
196,10/03/2016,02:05:28下午,2.708,2.956
197,10/03/2016,02:05:29下午,2.708,2.956
198,10/03/2016,02:05:29下午,2.708,2.956
199,10/03/2016,02:05:29下午,2.708,2.956
200,10/03/2016,02:05:29下午,2.705,2.953
201,10/03/2016,02:05:29下午,2.705,2.953
202,10/03/2016,02:05:29下午,2.705,2.953
203,10/03/2016,02:05:30下午,2.705,2.953
204,10/03/2016,02:05:30下午,2.705,2.953
205,10/03/2016,02:05:30下午,2.705,2.952
206,10/03/2016,02:05:30下午,2.705,2.952
207,10/03/2016,02:05:30下午,2.705,2.952
208,10/03/2016,02:05:30下午,2.705,2.952
209,10/03/2016,02:05:31下午,2.705,2.949
210,10/03/2016,02:05:31下午,2.703,2.949
211,10/03/2016,02:05:31下午,2.703,2.949
212,10/03/2016,02:05:31下午,2.703,2.949
213,10/03/2016,02:05:31下午,2.703,2.949
214,10/03/2016,02:05:32下午,2.698,2.944
215,10/03/2016,02:05:32下午,2.698,2.944
216,10/03/2016,02:05:32下午,2.698,2.944
217,10/03/2016,02:05:32下午,2.698,2.944
218,10/03/2016,02:05:32下午,2.698,2.941
219,10/03/2016,02:05:32下午,2.696,2.941
220,10/03/2016,02:05:33下午,2.696,2.941
221,10/03/2016,02:05:33下午,2.696,2.941
222,10/03/2016,02:05:33下午,2.696,2.941
223,10/03/2016,02:05:33下午,2.695,2.939
224,10/03/2016,02:05:33下午,2.695,2.939
225,10/03/2016,02:05:33下午,2.695,2.939
226,10/03/2016,02:05:34下午,2.695,2.939
227,10/03/2016,02:05:34下午,2.695,2.944
228,10/03/2016,02:05:34下午,2.7,2.944
229,10/03/2016,02:05:34下午,2.7,2.944
230,10/03/2016,02:05:34下午,2.7,2.944
231,10/03/2016,02:05:35下午,2.7,2.944
232,10/03/2016,02:05:35下午,2.699,2.944
233,10/03/2016,02:05:35下午,2.699,2.944
234,10/03/2016,02:05:35下午,2.699,2.944
235,10/03/2016,02:05:35下午,2.699,2.944
236,10/03/2016,02:05:35下午,2.699,2.947
