SAMPLE,DATE,TIME,Comp.Cond,Uncomp.Cond
 0 ,10/03/2016,03:40:12下午,2.363,2.632
 1 ,10/03/2016,03:40:13下午,2.363,2.633
 2 ,10/03/2016,03:40:13下午,2.363,2.633
 3 ,10/03/2016,03:40:13下午,2.363,2.633
 4 ,10/03/2016,03:40:13下午,2.363,2.633
 5 ,10/03/2016,03:40:13下午,2.363,2.633
 6 ,10/03/2016,03:40:13下午,2.364,2.634
 7 ,10/03/2016,03:40:14下午,2.364,2.634
 8 ,10/03/2016,03:40:14下午,2.364,2.634
 9 ,10/03/2016,03:40:14下午,2.364,2.634
 10 ,10/03/2016,03:40:14下午,2.364,2.635
 11 ,10/03/2016,03:40:14下午,2.365,2.635
 12 ,10/03/2016,03:40:15下午,2.365,2.635
 13 ,10/03/2016,03:40:15下午,2.365,2.635
 14 ,10/03/2016,03:40:15下午,2.365,2.635
 15 ,10/03/2016,03:40:15下午,2.366,2.636
 16 ,10/03/2016,03:40:15下午,2.366,2.636
 17 ,10/03/2016,03:40:15下午,2.366,2.636
 18 ,10/03/2016,03:40:16下午,2.366,2.636
 19 ,10/03/2016,03:40:16下午,2.366,2.639
 20 ,10/03/2016,03:40:16下午,2.368,2.639
 21 ,10/03/2016,03:40:16下午,2.368,2.639
 22 ,10/03/2016,03:40:16下午,2.368,2.639
 23 ,10/03/2016,03:40:16下午,2.368,2.639
 24 ,10/03/2016,03:40:17下午,2.366,2.637
 25 ,10/03/2016,03:40:17下午,2.366,2.637
 26 ,10/03/2016,03:40:17下午,2.366,2.637
 27 ,10/03/2016,03:40:17下午,2.366,2.637
 28 ,10/03/2016,03:40:17下午,2.366,2.636
 29 ,10/03/2016,03:40:18下午,2.365,2.636
 30 ,10/03/2016,03:40:18下午,2.365,2.636
 31 ,10/03/2016,03:40:18下午,2.365,2.636
 32 ,10/03/2016,03:40:18下午,2.365,2.636
 33 ,10/03/2016,03:40:18下午,2.363,2.636
 34 ,10/03/2016,03:40:18下午,2.363,2.636
 35 ,10/03/2016,03:40:19下午,2.363,2.636
 36 ,10/03/2016,03:40:19下午,2.363,2.636
 37 ,10/03/2016,03:40:19下午,2.363,2.636
 38 ,10/03/2016,03:40:19下午,2.363,2.636
 39 ,10/03/2016,03:40:19下午,2.363,2.636
 40 ,10/03/2016,03:40:19下午,2.363,2.636
 41 ,10/03/2016,03:40:20下午,2.363,2.636
 42 ,10/03/2016,03:40:20下午,2.361,2.634
 43 ,10/03/2016,03:40:20下午,2.361,2.634
 44 ,10/03/2016,03:40:20下午,2.361,2.634
 45 ,10/03/2016,03:40:20下午,2.361,2.634
 46 ,10/03/2016,03:40:21下午,2.361,2.635
 47 ,10/03/2016,03:40:21下午,2.362,2.635
 48 ,10/03/2016,03:40:21下午,2.362,2.635
 49 ,10/03/2016,03:40:21下午,2.362,2.635
 50 ,10/03/2016,03:40:21下午,2.362,2.635
 51 ,10/03/2016,03:40:21下午,2.363,2.636
 52 ,10/03/2016,03:40:22下午,2.363,2.636
 53 ,10/03/2016,03:40:22下午,2.363,2.636
 54 ,10/03/2016,03:40:22下午,2.363,2.636
 55 ,10/03/2016,03:40:22下午,2.363,2.638
 56 ,10/03/2016,03:40:22下午,2.364,2.638
 57 ,10/03/2016,03:40:22下午,2.364,2.638
 58 ,10/03/2016,03:40:23下午,2.364,2.638
 59 ,10/03/2016,03:40:23下午,2.364,2.638
 60 ,10/03/2016,03:40:23下午,2.365,2.639
 61 ,10/03/2016,03:40:23下午,2.365,2.639
 62 ,10/03/2016,03:40:23下午,2.365,2.639
 63 ,10/03/2016,03:40:23下午,2.365,2.639
 64 ,10/03/2016,03:40:24下午,2.365,2.641
 65 ,10/03/2016,03:40:24下午,2.366,2.641
 66 ,10/03/2016,03:40:24下午,2.366,2.641
 67 ,10/03/2016,03:40:24下午,2.366,2.641
 68 ,10/03/2016,03:40:24下午,2.366,2.641
 69 ,10/03/2016,03:40:25下午,2.366,2.641
 70 ,10/03/2016,03:40:25下午,2.366,2.641
 71 ,10/03/2016,03:40:25下午,2.366,2.641
 72 ,10/03/2016,03:40:25下午,2.366,2.641
 73 ,10/03/2016,03:40:25下午,2.366,2.641
 74 ,10/03/2016,03:40:25下午,2.365,2.641
 75 ,10/03/2016,03:40:26下午,2.365,2.641
 76 ,10/03/2016,03:40:26下午,2.365,2.641
 77 ,10/03/2016,03:40:26下午,2.365,2.641
 78 ,10/03/2016,03:40:26下午,2.363,2.638
 79 ,10/03/2016,03:40:26下午,2.363,2.638
 80 ,10/03/2016,03:40:26下午,2.363,2.638
 81 ,10/03/2016,03:40:27下午,2.363,2.638
 82 ,10/03/2016,03:40:27下午,2.363,2.638
 83 ,10/03/2016,03:40:27下午,2.362,2.638
 84 ,10/03/2016,03:40:27下午,2.362,2.638
 85 ,10/03/2016,03:40:27下午,2.362,2.638
 86 ,10/03/2016,03:40:27下午,2.362,2.638
 87 ,10/03/2016,03:40:28下午,2.361,2.636
 88 ,10/03/2016,03:40:28下午,2.361,2.636
 89 ,10/03/2016,03:40:28下午,2.361,2.636
 90 ,10/03/2016,03:40:28下午,2.361,2.636
 91 ,10/03/2016,03:40:28下午,2.361,2.636
 92 ,10/03/2016,03:40:29下午,2.360,2.636
 93 ,10/03/2016,03:40:29下午,2.360,2.636
 94 ,10/03/2016,03:40:29下午,2.360,2.636
 95 ,10/03/2016,03:40:29下午,2.360,2.636
 96 ,10/03/2016,03:40:29下午,2.363,2.640
 97 ,10/03/2016,03:40:29下午,2.363,2.640
 98 ,10/03/2016,03:40:30下午,2.363,2.640
 99 ,10/03/2016,03:40:30下午,2.363,2.640
 100 ,10/03/2016,03:40:30下午,2.363,2.641
 101 ,10/03/2016,03:40:30下午,2.364,2.641
 102 ,10/03/2016,03:40:30下午,2.364,2.641
 103 ,10/03/2016,03:40:30下午,2.364,2.641
 104 ,10/03/2016,03:40:31下午,2.364,2.641
 105 ,10/03/2016,03:40:31下午,2.365,2.642
 106 ,10/03/2016,03:40:31下午,2.365,2.642
 107 ,10/03/2016,03:40:31下午,2.365,2.642
 108 ,10/03/2016,03:40:31下午,2.365,2.642
 109 ,10/03/2016,03:40:32下午,2.365,2.642
 110 ,10/03/2016,03:40:32下午,2.364,2.642
 111 ,10/03/2016,03:40:32下午,2.364,2.642
 112 ,10/03/2016,03:40:32下午,2.364,2.642
 113 ,10/03/2016,03:40:32下午,2.364,2.642
 114 ,10/03/2016,03:40:32下午,2.363,2.641
 115 ,10/03/2016,03:40:33下午,2.363,2.641
 116 ,10/03/2016,03:40:33下午,2.363,2.641
 117 ,10/03/2016,03:40:33下午,2.363,2.641
 118 ,10/03/2016,03:40:33下午,2.363,2.637
 119 ,10/03/2016,03:40:33下午,2.359,2.637
 120 ,10/03/2016,03:40:33下午,2.359,2.637
 121 ,10/03/2016,03:40:34下午,2.359,2.637
 122 ,10/03/2016,03:40:34下午,2.359,2.637
 123 ,10/03/2016,03:40:34下午,2.361,2.640
 124 ,10/03/2016,03:40:34下午,2.361,2.640
 125 ,10/03/2016,03:40:34下午,2.361,2.640
 126 ,10/03/2016,03:40:34下午,2.361,2.640
 127 ,10/03/2016,03:40:35下午,2.361,2.641
 128 ,10/03/2016,03:40:35下午,2.362,2.641
 129 ,10/03/2016,03:40:35下午,2.362,2.641
 130 ,10/03/2016,03:40:35下午,2.362,2.641
 131 ,10/03/2016,03:40:35下午,2.362,2.641
 132 ,10/03/2016,03:40:36下午,2.364,2.644
 133 ,10/03/2016,03:40:36下午,2.364,2.644
 134 ,10/03/2016,03:40:36下午,2.364,2.644
 135 ,10/03/2016,03:40:36下午,2.364,2.644
 136 ,10/03/2016,03:40:36下午,2.364,2.643
 137 ,10/03/2016,03:40:36下午,2.364,2.643
 138 ,10/03/2016,03:40:37下午,2.364,2.643
 139 ,10/03/2016,03:40:37下午,2.364,2.643
 140 ,10/03/2016,03:40:37下午,2.364,2.643
 141 ,10/03/2016,03:40:37下午,2.364,2.644
 142 ,10/03/2016,03:40:37下午,2.364,2.644
 143 ,10/03/2016,03:40:37下午,2.364,2.644
 144 ,10/03/2016,03:40:38下午,2.364,2.644
 145 ,10/03/2016,03:40:38下午,2.364,2.641
 146 ,10/03/2016,03:40:38下午,2.360,2.641
 147 ,10/03/2016,03:40:38下午,2.360,2.641
 148 ,10/03/2016,03:40:38下午,2.360,2.641
 149 ,10/03/2016,03:40:38下午,2.360,2.641
 150 ,10/03/2016,03:40:39下午,2.360,2.641
 151 ,10/03/2016,03:40:39下午,2.360,2.641
 152 ,10/03/2016,03:40:39下午,2.360,2.641
 153 ,10/03/2016,03:40:39下午,2.360,2.641
 154 ,10/03/2016,03:40:39下午,2.360,2.640
 155 ,10/03/2016,03:40:40下午,2.359,2.640
 156 ,10/03/2016,03:40:40下午,2.359,2.640
 157 ,10/03/2016,03:40:40下午,2.359,2.640
 158 ,10/03/2016,03:40:40下午,2.359,2.640
 159 ,10/03/2016,03:40:40下午,2.363,2.644
 160 ,10/03/2016,03:40:40下午,2.363,2.644
 161 ,10/03/2016,03:40:41下午,2.363,2.644
 162 ,10/03/2016,03:40:41下午,2.363,2.644
 163 ,10/03/2016,03:40:41下午,2.363,2.647
 164 ,10/03/2016,03:40:41下午,2.366,2.647
 165 ,10/03/2016,03:40:41下午,2.366,2.647
 166 ,10/03/2016,03:40:41下午,2.366,2.647
 167 ,10/03/2016,03:40:42下午,2.366,2.647
 168 ,10/03/2016,03:40:42下午,2.364,2.646
 169 ,10/03/2016,03:40:42下午,2.364,2.646
 170 ,10/03/2016,03:40:42下午,2.364,2.646
 171 ,10/03/2016,03:40:42下午,2.364,2.646
 172 ,10/03/2016,03:40:43下午,2.364,2.644
 173 ,10/03/2016,03:40:43下午,2.363,2.644
 174 ,10/03/2016,03:40:43下午,2.363,2.644
 175 ,10/03/2016,03:40:43下午,2.363,2.644
 176 ,10/03/2016,03:40:43下午,2.363,2.644
 177 ,10/03/2016,03:40:43下午,2.363,2.646
 178 ,10/03/2016,03:40:44下午,2.363,2.646
 179 ,10/03/2016,03:40:44下午,2.363,2.646
 180 ,10/03/2016,03:40:44下午,2.363,2.646
