"time.aa.","intensity.aa.","A.aa."
1,0.0079345705,Inf
2,0.008239746,Inf
3,0.008544922,Inf
4,0.0088500975,Inf
5,0.0088500975,Inf
6,0.008544922,Inf
7,0.008239746,Inf
8,0.008239746,Inf
9,0.0076293945,Inf
10,0.007324219,Inf
11,0.007324219,Inf
12,0.006713867,Inf
13,0.0064086915,Inf
14,0.006713867,Inf
15,0.0064086915,Inf
16,0.006713867,Inf
17,0.007019043,Inf
18,0.007019043,Inf
19,0.007324219,Inf
20,0.007324219,Inf
21,0.007324219,Inf
22,0.007324219,Inf
23,0.007019043,Inf
24,0.006713867,Inf
25,0.0064086915,Inf
26,0.00579834,Inf
27,0.0051879885,Inf
28,0.0051879885,Inf
29,0.004882813,Inf
30,0.004577637,Inf
31,0.004882813,Inf
32,0.004882813,Inf
33,0.005493164,Inf
34,0.0051879885,Inf
35,0.005493164,Inf
36,0.00579834,Inf
37,0.00579834,Inf
38,0.006103516,Inf
39,0.005493164,Inf
40,0.005493164,Inf
41,0.004882813,Inf
42,0.004577637,Inf
43,0.004272461,Inf
44,0.003967285,Inf
45,0.003662109,Inf
46,0.003662109,Inf
47,0.003662109,Inf
48,0.003662109,Inf
49,0.003662109,Inf
50,0.004272461,Inf
51,0.004272461,Inf
52,0.004882813,Inf
53,0.004882813,Inf
54,0.004882813,Inf
55,0.004577637,Inf
56,0.004272461,Inf
57,0.004882813,Inf
58,0.003662109,Inf
59,0.003662109,Inf
60,0.003662109,Inf
61,0.003051758,Inf
62,0.002441406,Inf
63,0.002746582,Inf
64,0.003051758,Inf
65,0.003051758,Inf
66,0.0033569335,Inf
67,0.003662109,Inf
68,0.003662109,Inf
69,0.003662109,Inf
70,0.003967285,Inf
71,0.003662109,Inf
72,0.003662109,Inf
73,0.003662109,Inf
74,0.0033569335,Inf
75,0.002746582,Inf
76,0.002746582,Inf
77,0.002441406,Inf
78,0.002441406,Inf
79,0.0021362305,Inf
80,0.0021362305,Inf
81,0.0021362305,Inf
82,0.002441406,Inf
83,0.002441406,Inf
84,0.003051758,Inf
85,0.0033569335,Inf
86,0.003662109,Inf
87,0.003662109,Inf
88,0.003051758,Inf
89,0.003662109,Inf
90,0.003051758,Inf
91,0.002441406,Inf
92,0.002441406,Inf
93,0.002441406,Inf
94,0.001831055,Inf
95,0.001831055,Inf
96,0.001220703,Inf
97,0.001831055,Inf
98,0.001525879,Inf
